KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
20.431,2022,Híbrido,Murcia,5,No,Automático ,Manufaktur rojo patagonia,4x4,False,False,False,160 CV,False,False,False,False,False,False,False,51.500€
136.475,2018,Diésel,Murcia,4,No,Automático ,Plata iridio,Berlina,Mercedes-Benz,Clase E,E 220 d 4MATIC Berlina,194 CV,Turismo,239 km/h,7.5 s,4.5 l/100km,117g CO2/km,4923 mm / 1852 mm / 1468 mm,C,32.900€
26.500,2022,Gasolina,Barcelona,5,No,Automático ,Plata reflex,4x4,Volkswagen,Taigo,Taigo Life 1.0 TSI 81 kW (110 CV) DSG,110 CV,Todoterreno,191 km/h,10.9 s,5.6 l/100km,g CO2/km,4266 mm / 1757 mm / 1518 mm,C,23.900€
32.500,2022,Gasolina,Barcelona,5,No,Automático ,Gris smokey,4x4,Volkswagen,Taigo,Taigo Life 1.0 TSI 81 kW (110 CV) DSG,110 CV,Todoterreno,191 km/h,10.9 s,5.6 l/100km,g CO2/km,4266 mm / 1757 mm / 1518 mm,C,23.900€
31.500,2022,Gasolina,Barcelona,5,No,Automático ,Azul arrecife,4x4,Volkswagen,Taigo,Taigo Life 1.0 TSI 81 kW (110 CV) DSG,110 CV,Todoterreno,191 km/h,10.9 s,5.6 l/100km,g CO2/km,4266 mm / 1757 mm / 1518 mm,C,24.900€
1,0,Diésel,Barcelona,4,No,Automático ,Blanco candy,Monovolumen,False,False,False,150 CV,False,False,False,False,False,False,False,69.353€
13.500,2022,Diésel,Málaga,5,No,Automático ,Blanco polar - pintura un,puertas:,Mercedes-Benz,Clase A,A 200 d 4MATIC 8G-DCT,160 CV,Turismo,217 km/h,8.3 s,5.1 l/100km,121g CO2/km,4419 mm / 1796 mm / 1440 mm,C,37.950€
45.000,2019,Gasolina,Alcalá de Henares,5,No,Automático ,Gris,Todoterreno,Porsche,Cayenne,Cayenne,340 CV,Todoterreno,245 km/h,6.2 s,9 l/100km,205g CO2/km,4918 mm / 1983 mm / 1696 mm,C,88.500€
69.500,2022,Gasolina,Vilassar de Dalt,5,Sí,Automático ,Azul,Todoterreno,Cupra,Formentor,Formentor 1.5 TSI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,203 km/h,8.9 s,6.8 l/100km,g CO2/km,4450 mm / 1839 mm / 1520 mm,C,24.490€
51.721,2020,Diésel,Alcalá de Guadaira,4,Sí,Automático ,Blanco,Vehículo,False,False,False,114 CV,False,False,False,False,False,False,False,25.900€
37,2023,Eléctrico,Sevilla,4,Sí,Automático ,Gris,Berlina,False,False,False,,False,False,False,False,False,False,False,73.500€
9,2023,Eléctrico,Sevilla,4,No,Automático ,Gris,Berlina,False,False,False,,False,False,False,False,False,False,False,74.900€
143.000,2018,Diésel,Teo,4,Sí,Manual ,Blanco,Monovolumen,Peugeot,Partner,Partner Tepee Acces 1.6 BlueHDi 100,100 CV,Vehículo comercial,166 km/h,12.4 s,4.3 l/100km,113g CO2/km,4384 mm / 1810 mm / 1801 mm,C,9.634€
94.000,2016,Diésel,Teo,5,Sí,Automático ,Negro,Todoterreno,Jeep,Grand Cherokee,Grand Cherokee 3.0 V6 CRD Overland 241 CV,250 CV,Todoterreno,202 km/h,8.2 s,8.3 l/100km,218g CO2/km,4822 mm / 1943 mm / 1764 mm,B,33.900€
65.372,2018,Gasolina,,5,Sí,Manual ,Naranja,Todoterreno,Hyundai,Kona,Kona 1.0 T-GDI 88 kW (120 CV) 4x2 Essence,120 CV,Todoterreno,181 km/h,12 s,5.5 l/100km,124g CO2/km,4165 mm / 1800 mm / 1550 mm,C,16.100€
14.640,2023,Diésel,,5,Sí,Automático ,Blanco,Berlina,Audi,Q2,Q2 design edition 35 TDI S tronic 7 vel.,150 CV,Todoterreno,211 km/h,8.5 s,4.6 l/100km,120g CO2/km,4191 mm / 1794 mm / 1538 mm,C,34.900€
10.026,2023,Diésel,,5,Sí,Automático ,Gris,Berlina,Audi,Q2,Q2 Advanced 30 TDI 85 kW (116 CV) S tronic,116 CV,Todoterreno,201 km/h,10.3 s,4.8 l/100km,g CO2/km,4208 mm / 1794 mm / 1537 mm,C,32.500€
23.464,2023,Gasolina,,5,Sí,Automático ,Negro,Berlina,Audi,A3,A3 Sportback 30 TFSI MHEV 81 kW (110 CV) Advanced S tronic 7 vel.,110 CV,Turismo,204 km/h,10.6 s,5.1 l/100km,g CO2/km,4343 mm / 1816 mm / 1449 mm,ECO,29.500€
31.000,2023,Diésel,,5,Sí,Automático ,Blanco,Sedan,Audi,A3,A3 Sportback 30 TDI 85 kW (116 CV) Advanced  S tronic 7 vel.,116 CV,Turismo,206 km/h,10.1 s,4.6 l/100km,g CO2/km,4343 mm / 1816 mm / 1449 mm,C,28.900€
15.000,2023,Gasolina,,4,Sí,Automático ,Azul,Sedan,Audi,A3,A3 Sedan 35 TFSI MHEV 110 kW (150 CV) S Line S tronic 7 vel.,150 CV,Turismo,232 km/h,8.4 s,5.7 l/100km,g CO2/km,4495 mm / 1816 mm / 1425 mm,ECO,36.500€
20.233,2023,Gasolina,,5,Sí,Automático ,Negro,Sedan,Audi,A3,A3 Sportback 30 TFSI MHEV 81 kW (110 CV) Advanced S tronic 7 vel.,110 CV,Turismo,204 km/h,10.6 s,5.1 l/100km,g CO2/km,4343 mm / 1816 mm / 1449 mm,ECO,29.500€
65.000,2019,Diésel,Sant Boi de Llobregat,5,Sí,Manual ,Blanco,Sedan,Skoda,Octavia,Octavia GreenLine 1.6 TDI CR 105 CV,115 CV,Turismo,192 km/h,11.4 s,3.8 l/100km,99g CO2/km,4569 mm / 1769 mm / 1462 mm,B,17.700€
18.073,2023,Gasolina,Sant Boi de Llobregat,5,Sí,Manual ,Azul,Todoterreno,Hyundai,Bayon,Bayon 1.2 MPi 84 CV Maxx,84 CV,Todoterreno,165 km/h,13.5 s,5.6 l/100km,g CO2/km,4180 mm / 1775 mm / 1500 mm,C,18.400€
3,2024,Gasolina,Granada,5,Sí,Manual ,Rojo,Todoterreno,Fiat,500X,500X 1.0 Firefly T3 88 kW (120 CV),119 CV,Todoterreno,192 km/h,10.7 s,6.2 l/100km,g CO2/km,4264 mm / 1796 mm / 1595 mm,C,25.500€
1,2024,Gasolina,Sevilla,5,No,Manual ,Azul,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,26.890€
5,2023,Eléctrico,Sevilla,5,Sí,Automático ,Gris,Monovolumen,Opel,Combo,Combo-e Life XL Elegance Plus 100 kW (136 CV) 50 kWh,136 CV,Vehículo comercial,135 km/h,11.7 s,20 l/100km,0g CO2/km,4753 mm / 1848 mm / 1880 mm,Cero,35.900€
33.160,2018,Gasolina,Málaga,5,Sí,Manual ,Azul,Utilitario,SEAT,Ibiza,Ibiza 5p 1.0 75 CV Reference,75 CV,Turismo,172 km/h,14.3 s,5.2 l/100km,118g CO2/km,4061 mm / 1693 mm / 1445 mm,C,11.390€
87.700,2020,Gasolina,Blanes,5,Sí,Automático ,Rojo,Todoterreno,Subaru,XV,XV 1.6i CVT Sport,114 CV,Todoterreno,175 km/h,13.9 s,6.4 l/100km,145g CO2/km,4465 mm / 1800 mm / 1595 mm,C,22.500€
48.088,2018,Gasolina,Blanes,5,Sí,Manual ,Marrón,Todoterreno,Dacia,Duster,Duster Blackshadow TCE 92 kW (125 CV) 4x2,125 CV,Todoterreno,175 km/h,10.4 s,6.1 l/100km,138g CO2/km,4315 mm / 1822 mm / 1695 mm,C,17.500€
8.945,2021,Gasolina,Blanes,5,Sí,Automático ,Blanco,Todoterreno,DS,3,3 Crossback PureTech 130 Aut. So Chic,130 CV,Todoterreno,200 km/h,9.2 s,4.9 l/100km,111g CO2/km,4118 mm / 1791 mm / 1534 mm,C,22.500€
30.256,2023,Eléctrico,Sevilla,4,No,Automático ,Azul,Deportivo,BMW,i4,i4 eDrive40 Gran Coupé,,Turismo,190 km/h,5.7 s,16.1 l/100km,0g CO2/km,4783 mm / 1852 mm / 1448 mm,Cero,63.890€
9.174,2019,Gasolina,Leganés,5,Sí,Manual ,Plata,Todoterreno,SsangYong,Tivoli,Tivoli G16 4x2 Premium,128 CV,Todoterreno,181 km/h, s,6.6 l/100km,154g CO2/km,4202 mm / 1798 mm / 1590 mm,C,15.500€
86.769,2017,Gasolina,Leganés,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,197 CV,False,False,False,False,False,False,False,21.000€
28.136,2022,Gasolina,Leganés,5,Sí,Automático ,Rojo,Todoterreno,Opel,Crossland,Crossland Elegance 1.2 Turbo 96 kW (130 CV) Aut.,130 CV,Monovolumen,198 km/h,10.2 s,6.3 l/100km,g CO2/km,4217 mm / 1765 mm / 1605 mm,C,22.000€
16.000,2023,Diésel,Leganés,5,Sí,Manual ,Rojo,Todoterreno,KIA,XCeed,XCeed 1.6 MHEV Emotion 100 kW (136 CV),136 CV,Todoterreno,196 km/h,10.6 s,5.1 l/100km,g CO2/km,4395 mm / 1826 mm / 1495 mm,ECO,25.600€
11.859,2023,Gasolina,Leganés,5,Sí,Manual ,Blanco,Todoterreno,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.400€
16.817,2023,Gasolina,Leganés,5,Sí,Manual ,Rojo,Todoterreno,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.200€
9.800,2023,Gasolina,Leganés,5,Sí,Automático ,Verde,Todoterreno,False,False,False,230 CV,False,False,False,False,False,False,False,35.700€
19.067,2023,Gasolina,Leganés,5,Sí,Automático ,Gris,Todoterreno,False,False,False,141 CV,False,False,False,False,False,False,False,28.500€
85.373,2020,Gasolina,Talavera de la Reina,5,Sí,Automático ,Blanco,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.5 TSI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.4 s,6.8 l/100km,124g CO2/km,4234 mm / 1819 mm / 1573 mm,C,21.490€
99.995,2020,Híbrido (Gasolina),Olías del Rey,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,136 CV,False,False,False,False,False,False,False,20.990€
3.500,2023,Diésel,Villanueva de Cordoba,4,Sí,Manual ,Blanco,Pickup,SsangYong,MUSSO,Musso Sports D22 DTR Pro 4x4,202 CV,Pick Up,187 km/h, s,8.6 l/100km,g CO2/km,5405 mm / 1950 mm / 1855 mm,C,26.500€
1.230,2023,Híbrido (Gasolina),San Cibrao Das Viñas,5,Sí,Automático ,Blanco,Todoterreno,Jeep,Grand Cherokee,Grand Cherokee 4xe Limited,381 CV,Todoterreno,210 km/h,6.3 s,2.8 l/100km,g CO2/km,4914 mm / 1968 mm / 1795 mm,Cero,95.900€
52.335,2019,Gasolina,Leganés,5,Sí,Manual ,Gris,Berlina,Citroen,C4 Cactus,C4 Cactus PureTech 110 S&S Feel,110 CV,Turismo,188 km/h,9.3 s,4.7 l/100km,100g CO2/km,4157 mm / 1729 mm / 1480 mm,C,13.995€
67.988,2016,Gasolina,Toledo,5,Sí,Manual ,Blanco,Berlina,Volkswagen,Polo,Polo 5p Advance 1.2 TSI 90 CV,90 CV,Turismo,182 km/h,10.9 s,5.1 l/100km,119g CO2/km,3970 mm / 1682 mm / 1462 mm,C,10.099€
86.259,2018,Gasolina,Toledo,5,Sí,Automático ,Blanco,Berlina,Volkswagen,Golf,Golf Variant Advance 1.4 TSI 122 CV DSG,125 CV,Turismo familiar,197 km/h,9.8 s,6.3 l/100km,148g CO2/km,4556 mm / 1781 mm / 1489 mm,C,16.199€
101.789,2020,Híbrido (Gasolina),Toledo,5,Sí,Automático ,Blanco,Berlina,Toyota,COROLLA,Corolla hybrid 180H Feel!,179 CV,Turismo,180 km/h,7.9 s,3.9 l/100km,89g CO2/km,4370 mm / 1790 mm / 1435 mm,ECO,18.399€
134.479,2014,Gasolina,Toledo,5,Sí,Manual ,Rojo,Berlina,Skoda,Fabia,Fabia 1.2 60 CV Ambition,70 CV,Turismo,155 km/h,16.5 s,5.5 l/100km,128g CO2/km,4000 mm / 1642 mm / 1498 mm,C,6.099€
75.765,2019,Gasolina,Toledo,5,Sí,Manual ,Naranja,Berlina,Renault,Clio,Clio Zen TCe 66 kW (90 CV),101 CV,Turismo,178 km/h,12.1 s,5 l/100km,114g CO2/km,4062 mm / 1731 mm / 1448 mm,C,12.699€
49.398,2016,Diésel,Toledo,5,Sí,Automático ,Gris,Todoterreno,Mercedes-Benz,GLC,GLC 250 d 4MATIC,205 CV,Todoterreno,222 km/h,7.6 s,5 l/100km,129g CO2/km,4656 mm / 1890 mm / 1644 mm,C,29.999€
35.469,2019,Gasolina,Toledo,5,Sí,Manual ,Negro,Todoterreno,Jeep,Renegade,Renegade Limited 1.0 Turbo 88 kW (120 CV) 4x2,120 CV,Todoterreno,185 km/h,11.2 s,5.9 l/100km,132g CO2/km,4236 mm / 1805 mm / 1667 mm,C,16.199€
64.880,2020,Gasolina,Toledo,5,Sí,Manual ,Gris,Todoterreno,Hyundai,TUCSON,Tucson 1.6 T-GDI 130 kW (177 CV) 4x2 Klass,177 CV,Todoterreno,205 km/h,9.2 s,7.5 l/100km,173g CO2/km,4480 mm / 1850 mm / 1645 mm,C,21.499€
93.946,2019,Gasolina,Toledo,5,Sí,Manual ,Azul,Todoterreno,Ford,EcoSport,EcoSport ST-Line 1.0 EcoBoost 92 kW (125 CV) S&S,125 CV,Todoterreno,180 km/h,11 s,5.2 l/100km,119g CO2/km,4096 mm / 1765 mm / 1645 mm,C,12.299€
8.310,2020,Gasolina,Toledo,3,Sí,Manual ,Azul,Berlina,Fiat,500,500 Lounge 1.2 69 CV,69 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,11.099€
61.411,2019,Gasolina,Toledo,5,Sí,Manual ,Azul,Berlina,Citroen,C4 Cactus,C4 Cactus PureTech 110 S&S Feel,110 CV,Turismo,188 km/h,9.3 s,4.7 l/100km,100g CO2/km,4157 mm / 1729 mm / 1480 mm,C,12.199€
9.815,2022,Gasolina,Toledo,5,Sí,Manual ,Gris,Todoterreno,Citroen,C3 Aircross,C3 Aircross PureTech 110 S&S Rip Curl,110 CV,Todoterreno,188 km/h,10 s,4.7 l/100km,108g CO2/km,4154 mm / 1756 mm / 1597 mm,C,15.599€
42.417,2019,Gasolina,Toledo,5,Sí,Manual ,Gris,Berlina,Citroen,C3,C3 PureTech 82 Origins,82 CV,Turismo,169 km/h,13.3 s,4.8 l/100km,109g CO2/km,3996 mm / 1749 mm / 1474 mm,C,10.799€
81.751,2017,Gasolina,Toledo,5,Sí,Manual ,Amarillo,Monovolumen,Citroen,Berlingo,Berlingo Multispace 20 Aniversario PureTech 110 S&S,110 CV,Vehículo comercial,180 km/h,12.2 s,5.1 l/100km,119g CO2/km,4384 mm / 1810 mm / 1862 mm,C,12.599€
46.886,2020,Gasolina,Toledo,5,Sí,Manual ,Gris,Monovolumen,Citroen,Berlingo,Berlingo Talla M PureTech 110 S&S Feel,110 CV,Vehículo comercial,170 km/h,11.5 s,5.5 l/100km,122g CO2/km,4403 mm / 1848 mm / 1800 mm,C,16.799€
130.895,2012,Diésel,Toledo,5,Sí,Automático ,Azul,Berlina,Audi,A5,A5 Sportback 3.0 TDI 240 CV quattro S tronic 7 vel.,245 CV,Turismo,250 km/h,6.1 s,6.6 l/100km,174g CO2/km,4711 mm / 1854 mm / 1391 mm,B,16.499€
27.000,2022,Híbrido (Gasolina),Córdoba,5,Sí,Automático ,Gris,Todoterreno,DS,7,7 Crossback E-TENSE 225 Rivoli,225 CV,Todoterreno,212 km/h,8.9 s,1.4 l/100km,g CO2/km,4570 mm / 1895 mm / 1620 mm,Cero,34.900€
109.115,2018,Diésel,Toledo,5,Sí,Automático ,Negro,Familiar,Skoda,Octavia,Octavia Executive 2.0 TDI CR 140 CV DSG,150 CV,Turismo,207 km/h,9.6 s,5.3 l/100km,138g CO2/km,4569 mm / 1769 mm / 1462 mm,B,15.699€
143.167,2019,Diésel,Toledo,5,Sí,Manual ,Rojo,Familiar,Skoda,Octavia,Octavia GreenLine 1.6 TDI CR 105 CV,115 CV,Turismo,192 km/h,11.4 s,3.8 l/100km,99g CO2/km,4569 mm / 1769 mm / 1462 mm,B,12.099€
13.935,2021,Gasolina,Toledo,5,Sí,Manual ,Gris,Todoterreno,SEAT,Tarraco,Tarraco 1.5 TSI 110 kW (150 CV) Style,150 CV,Todoterreno,199 km/h,9.9 s,6.6 l/100km,g CO2/km,4735 mm / 1839 mm / 1658 mm,C,25.399€
21.869,2019,Gasolina,Toledo,5,Sí,Manual ,Gris,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,19.099€
21.713,2020,Diésel,Toledo,5,Sí,Automático ,Rojo,Todoterreno,Peugeot,2008,2008 Allure 1.6 BlueHDi 120 S&S EAT6,131 CV,Todoterreno,193 km/h,10.4 s,4 l/100km,106g CO2/km,4159 mm / 1739 mm / 1570 mm,C,19.899€
30.722,2020,Gasolina,Toledo,5,Sí,Manual ,Gris,Todoterreno,Peugeot,2008,2008 Active Pack Puretech 100,100 CV,Todoterreno,188 km/h,10.9 s,5.4 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,16.199€
48.944,2021,Híbrido (Gasolina),Toledo,5,Sí,Manual ,Gris,Berlina,False,False,False,155 CV,False,False,False,False,False,False,False,18.899€
37.115,2020,Gasolina,Toledo,3,Sí,Manual ,Blanco,Berlina,Fiat,500,500 1.0 Hybrid 51 kW (70 CV) Lounge,70 CV,Turismo,167 km/h,13.8 s,5.3 l/100km,88g CO2/km,3571 mm / 1627 mm / 1488 mm,ECO,10.699€
84.968,2016,Gasolina,Toledo,5,Sí,Manual ,Gris,Berlina,Dacia,Sandero,Sandero Stepway TCe 90,90 CV,Turismo,168 km/h,11.1 s,5.4 l/100km,125g CO2/km,4081 mm / 1733 mm / 1618 mm,C,8.999€
49.181,2019,Gasolina,Toledo,5,Sí,Manual ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Feel PureTech 130 S&S,131 CV,Todoterreno,195 km/h,10.5 s,5.2 l/100km,119g CO2/km,4500 mm / 1840 mm / 1654 mm,C,16.299€
64.735,2016,Diésel,Toledo,5,Sí,Manual ,Gris,Berlina,Citroen,C4,C4 Picasso Feel Edition BlueHDi 120,120 CV,Monovolumen,189 km/h,11.3 s,3.8 l/100km,100g CO2/km,4428 mm / 1826 mm / 1613 mm,C,10.799€
48.305,2018,Gasolina,Toledo,5,Sí,Manual ,Azul,Todoterreno,Citroen,C3 Aircross,C3 Aircross PureTech 110 S&S Shine,110 CV,Todoterreno,185 km/h,10.2 s,5 l/100km,115g CO2/km,4154 mm / 1756 mm / 1597 mm,C,12.099€
39.222,2019,Gasolina,Toledo,5,Sí,Manual ,Negro,Berlina,Citroen,C3,C3 PureTech 68 Feel,82 CV,Turismo,164 km/h,14.2 s,4.7 l/100km,109g CO2/km,3996 mm / 1749 mm / 1474 mm,C,10.799€
71.930,2017,Diésel,Toledo,5,Sí,Manual ,Blanco,Berlina,BMW,1 Series,116d 5p,115 CV,Turismo,200 km/h,10.3 s,4.3 l/100km,114g CO2/km,4324 mm / 1765 mm / 1421 mm,B,16.899€
170.000,2019,Híbrido Enchufable (PHEV),Madrid,5,Sí,Automático ,Blanco,Berlina,Hyundai,IONIQ,IONIQ Híbrido-enchufable 1.6 GDI 104 kW (141 CV) Klass,141 CV,Turismo,178 km/h,10.6 s,1.1 l/100km,26g CO2/km,4470 mm / 1820 mm / 1450 mm,Cero,15.990€
100.600,2016,Gasolina,Villajoyosa,5,Sí,Manual ,Blanco,Monovolumen,Peugeot,5008,5008 Style 1.2 PureTech 130 7 plazas,130 CV,Monovolumen,201 km/h,10.8 s,5.4 l/100km,124g CO2/km,4529 mm / 1837 mm / 1639 mm,C,16.500€
137.394,2018,Híbrido (Gasolina),Valladolid,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,155 CV,False,False,False,False,False,False,False,20.950€
76.920,2021,Gasolina,Quart de Poblet,5,Sí,Manual ,Rojo,Utilitario,SEAT,Leon,León 1.5 TSI 96 KW (130 CV) Style,131 CV,Turismo,208 km/h,9.4 s,5.5 l/100km,g CO2/km,4368 mm / 1800 mm / 1456 mm,C,17.950€
70.079,2021,Gasolina,Quart de Poblet,5,Sí,Manual ,Negro,Utilitario,SEAT,Ibiza,Ibiza 1.0 EcoTSI 85 kW (115 CV) Start&Stop Xcellence,110 CV,Turismo,195 km/h,9.3 s,4.7 l/100km,108g CO2/km,4059 mm / 1780 mm / 1444 mm,C,15.690€
49.324,2020,Gasolina,Valladolid,5,Sí,Manual ,Naranja,Todoterreno,Renault,Captur,Captur Zen TCe 96 kW (130 CV),131 CV,Todoterreno,195 km/h,10.6 s,6.2 l/100km,127g CO2/km,4227 mm / 1797 mm / 1576 mm,C,19.560€
91.490,2017,Gasolina,Collado Villalba,5,Sí,Automático ,Negro,Todoterreno,Porsche,Macan,Macan S,340 CV,Todoterreno,254 km/h,5.4 s,8.7 l/100km,204g CO2/km,4697 mm / 1923 mm / 1624 mm,C,45.950€
90.076,2018,Diésel,Collado Villalba,3,Sí,Manual ,Blanco,Furgoneta,Peugeot,Partner,Nuevo Partner Tepee Confort HDi 75,75 CV,Vehículo comercial,150 km/h,17.1 s,5.7 l/100km,149g CO2/km,4380 mm / 1810 mm / 1801 mm,B,9.590€
58.408,2021,Diésel,Quart de Poblet,5,Sí,Manual ,Negro,Utilitario,Peugeot,308,308 5p Allure Pack BlueHDi 130 S&S,131 CV,Turismo,199 km/h,10.2 s,4.6 l/100km,g CO2/km,4253 mm / 1804 mm / 1472 mm,C,17.390€
72.426,2020,Gasolina,Quart de Poblet,5,Sí,Automático ,Rojo,Todoterreno,Nissan,Juke,Juke N-Design DIG-T 86 kW (117 CV) DCT7,117 CV,Todoterreno,180 km/h,11.1 s,6.4 l/100km,116g CO2/km,4210 mm / 1800 mm / 1595 mm,C,19.590€
98.327,2018,Gasolina,Quart de Poblet,5,Sí,Manual ,Blanco,Utilitario,Mini,One,One Countryman,102 CV,Todoterreno,180 km/h,11.8 s,5.5 l/100km,126g CO2/km,4299 mm / 1822 mm / 1557 mm,C,15.690€
197.709,2005,Gasolina,Quart de Poblet,2,Sí,Automático ,Gris,Deportivo,Mercedes-Benz,SL,SL 500,306 CV,Descapotable,250 km/h,6.3 s,12.7 l/100km,g CO2/km,4535 mm / 1827 mm / 1298 mm,C,14.690€
69.497,2018,Diésel,Quart de Poblet,5,Sí,Automático ,Blanco,Todoterreno,Infiniti,Q30,Q30 1.5d Premium 7DCT,109 CV,Turismo,190 km/h,11.9 s,4.3 l/100km,111g CO2/km,4425 mm / 1805 mm / 1495 mm,C,19.690€
67.390,2021,Híbrido (Gasolina),Valladolid,5,Sí,Automático ,Blanco,Berlina,Hyundai,IONIQ,IONIQ Híbrido 1.6 GDI 104 kW (141 CV) DCT Klass,140 CV,Turismo,185 km/h,10.8 s,4.5 l/100km,g CO2/km,4470 mm / 1820 mm / 1450 mm,ECO,22.950€
143.835,2014,Diésel,Valladolid,5,Sí,Manual ,Blanco,Familiar,Hyundai,i40,i40 CW 1.7 CRDi 136 CV BlueDrive Tecno,136 CV,Turismo familiar,198 km/h,10.5 s,4.5 l/100km,119g CO2/km,4770 mm / 1815 mm / 1470 mm,B,11.490€
46.217,2022,Híbrido (Gasolina),Valladolid,5,Sí,Manual ,Azul,Utilitario,False,False,False,125 CV,False,False,False,False,False,False,False,17.260€
64.332,2021,Híbrido (Diésel),Quart de Poblet,4,Sí,Automático ,Gris,Berlina,BMW,5 Series,520e Berlina,190 CV,Turismo,225 km/h,7.9 s,1.4 l/100km,g CO2/km,4963 mm / 1868 mm / 1483 mm,Cero,36.950€
85.000,2018,Diésel,Valladolid,5,Sí,Manual ,Negro,Todoterreno,Audi,Q5,Q5 Advanced edition 2.0 TDI ultra 150 CV,150 CV,Todoterreno,192 km/h,10.9 s,4.9 l/100km,129g CO2/km,4629 mm / 1898 mm / 1627 mm,C,27.950€
89.602,2020,Híbrido (Diésel),Collado Villalba,4,Sí,Automático ,Negro,Berlina,False,False,False,163 CV,False,False,False,False,False,False,False,26.950€
14.907,2023,Gasolina,Collado Villalba,5,Sí,Automático ,Verde,Utilitario,Peugeot,308,308 SW Allure Pack Puretech 130 EAT8,131 CV,Turismo familiar,210 km/h,9.9 s,5.8 l/100km,g CO2/km,4636 mm / 1852 mm / 1442 mm,C,23.890€
95.350,2017,Gasolina,Fontellas,5,Sí,Manual ,Gris,Todoterreno,Peugeot,3008,3008 Allure 1.2 PureTech 130 S&S,131 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,15.590€
76.430,2020,Gasolina,Torrejón de Ardoz,5,Sí,Manual ,Negro,Utilitario,Ford,Fiesta,Fiesta 5p Trend 1.1 Ti-VCT 63 kW (85 CV),75 CV,Turismo,170 km/h,13.8 s,5.2 l/100km,114g CO2/km,4040 mm / 1735 mm / 1476 mm,C,12.990€
65.509,2021,Híbrido (Gasolina),Fontellas,3,Sí,Manual ,Granate,Utilitario,False,False,False,69 CV,False,False,False,False,False,False,False,12.290€
66.199,2020,Diésel,Quart de Poblet,5,Sí,Manual ,Gris,Furgoneta,Citroen,Berlingo,Berlingo Talla M BlueHDi 100 Shine,102 CV,Vehículo comercial,175 km/h,12.3 s,4.3 l/100km,113g CO2/km,4403 mm / 1848 mm / 1800 mm,C,21.490€
2,2023,Gasolina,Gandía,5,Sí,Manual ,Gris,Familiar,Mazda,6,6 5p Iruka 2.0 155 CV,164 CV,Turismo,215 km/h,10.3 s,6.9 l/100km,159g CO2/km,4755 mm / 1795 mm / 1440 mm,C,34.500€
192.400,2005,Diésel,Alicante,5,Sí,Automático ,Gris claro,Berlina,SEAT,Altea,Altea 2.0 TDI 140 CV DSG Hot,139 CV,Monovolumen,201 km/h,9.8 s,6 l/100km,g CO2/km,4280 mm / 1768 mm / 1568 mm,B,4.950€
20.563,2023,Gasolina,Palma de Mallorca,5,Sí,Manual ,Gris,Todoterreno,Volkswagen,T-Cross,T-Cross Sport 1.0 TSI 81 kW (110 CV),110 CV,Todoterreno,189 km/h,10.8 s,5.8 l/100km,g CO2/km,4108 mm / 1782 mm / 1584 mm,C,22.300€
20.423,2023,Gasolina,Riba Roja del Turia,5,Sí,Manual ,Gris,Todoterreno,Citroen,C4,C4 VTi 120 Seduction,130 CV,Turismo,193 km/h,10.8 s,6.2 l/100km,143g CO2/km,4329 mm / 1789 mm / 1489 mm,C,18.450€
5.000,2023,Eléctrico,Sevilla,4,Sí,Automático ,Blanco,Familiar,False,False,False,136 CV,False,False,False,False,False,False,False,38.900€
16.987,2020,Gasolina,Sevilla,5,Sí,Manual ,Rojo,Todoterreno,Hyundai,TUCSON,Tucson 1.6 GDI 97 kW (131 CV) 4x2 SLE,132 CV,Todoterreno,182 km/h,11.5 s,6.9 l/100km,157g CO2/km,4480 mm / 1850 mm / 1645 mm,C,23.490€
